p	h	t
ansiedade	medo	Figurado. Ausência de tranquilidade; que demonstra ou possui medo e/ou receio: demonstrava ansiedade e precisava sair imediatamente dali.
ansiedade	Psicopatologia.	Psicopatologia. Condição emocional de sofrimento, definido pela expectativa de um acontecimento inesperado e perigoso, à frente da qual o indivíduo se acha indefeso.
anta	Mamífero  s.f. Zoologia  Mamífero da Ásia tropical e da América, que possui uma tromba curta; tapir. (Ordem dos ungulados, subordem dos perissodáctilos. [Compr.: 2 m.] A espécie asiática, ainda encontrada na Maláisia, está em via de desaparecimento.)
antagonista	Adversário;	s.m. e s.f. Adversário; pessoa que está lutando contra outra.
antagonista	Opositor;	Opositor; quem se opõe a algo ou a alguém.
antagonista	agente.	Farmacologia. Algo que possui propriedades para inibir a ação de outro agente.
antebraco	membro	s.m. Parte do membro superior entre o cotovelo e o pulso.
antecamara	sala	s.f. Vestíbulo, sala de espera, na entrada de um gabinete, de um escritório.
antecamara	quarto	Câmara ou quarto anterior ao quarto de dormir.
antecessor	pessoa	s.m. Algo ou alguém que precede (outra pessoa ou coisa); predecessor: o antecessor deste prefeito fez muitas melhorias na cidade.
antecipacao	Ação	s.f. Ação de antecipar, de fazer alguma coisa de antemão; adiantamento, previsão: antecipação dos resultados.
antena	Condutor	s.f. Condutor metálico que permite emitir ou captar ondas eletromagnéticas.
antena	Torre	Torre metálica que sustenta as antenas.
antena	Verga	Náut. Verga comprida que sustenta as velas de um navio.
anteparo	Obstáculo	Figurado. Obstáculo que não permite a realização de alguma coisa.
anteparo	Parada	Parada inesperada e momentânea.
anteparo	Ajuda	P.ext. Ajuda ou amparo: o medicamento correto foi seu anteparo para se curar do câncer; o anteparo da mãe afastou seus problemas.
antepasto	Iguarias	s.m. Iguarias que se servem antes do prato principal; entrada.
anteposicao	Ação	s.f. Ação de antepor.
anteposicao	Precedência.	Precedência.
anteprojeto	Redação,	s.m. Redação, conhecimento ou análise preparatória de um projeto.
anteprojeto	Rascunho	Engenharia. Arquitetura. Rascunho ou conhecimento prévio acerca de um tema que, depois de analisado ou modificado, transforma-se na base do projeto final de uma obra.
antevespera	dia	s.f. O dia anterior à véspera.
anticorpo	proteína	s.m. Tipo de proteína encontrada no soro sanguíneo, produzida em resposta ao aparecimento no organismo de uma substância estranha.
anticristo	Impostor	s.m. Impostor que, segundo o Apocalipse, deve vir antes do fim do mundo para tentar estabelecer uma religião oposta à de Cristo.
anticristo	Inimigo	Inimigo de Cristo; perseguidor feroz dos cristãos.
antidoto	Substância	s.m. Substância que impede a ação nociva de um veneno sobre o organismo.  Alguns antídotos agem quimicamente sobre os venenos para torná-los inócuos. Outros antídotos produzem uma alteração que atua contra a ação do veneno. Existem, enfim, outros antídotos que podem evitar que certas células do organismo sofram os efeitos de um veneno. As antitoxinas são um tipo especial de antídoto .
antifona	Versículo	s.f. Versículo cantado antes e depois de um salmo.
antiguidade	antigo:	s.f. Caráter daquilo que é antigo: a antiguidade valoriza o objeto.
antiguidade	Objetos	Objetos mais ou menos antigos: comércio de antiguidades.
antilope	ruminantes	s.m. ou f. Zoologia  Nome dado a diversos ruminantes selvagens, notáveis pelo porte elegante e corrida veloz, como a gazela e o cabrito-montês.
antinomia	Contradição	s.f. Contradição entre duas leis, dois princípios.
antinomia	Oposição,	Oposição, contradição.
antipatia	Repugnância	s.f. Repugnância instintiva diante de alguém ou de alguma coisa; aversão, repulsa.
antipatia	Incompatibilidade,	Incompatibilidade, discordância, desarmonia.
antiquario	Comerciante	s.m. Comerciante que vende objetos antigos.
antiquario	Loja	Loja de coisas antigas.
antiquario	colecionador	Estudioso ou colecionador de antiguidades.
antitese	Figura	s.f. Retórica. Figura de ênfase estilística que consiste em aproximar palavras ou expressões de sentido contrário: punem-se os inocentes e premiam-se os culpados.
antitese	dialética	Filosofia. Na dialética de Hegel é a segunda proposição de um sistema antinômico (dialético), oposta à primeira (tese): a síntese concilia a tese e a antítese.
antitese	contrário,	O contrário, o oposto: essa decoração é a antítese do bom gosto.
antologia	Coleção	s.f. Coleção de textos que escritos, em prosa ou verso, normalmente por autores variados, sendo organizada tendo em conta determinada época, autoria, tema etc.; coletânea.
antologia	estudo	Botânica. Análise detalhada sobre as flores; estudo das flores.
antro	Escavação	s.m. Escavação natural que pode servir de abrigo a homens ou animais; gruta, caverna.
antro	Habitação	Fig. Habitação lôbrega; casa ou lugar de perdição e vícios; abismo: os antros do crime.
antro	Cavidade	Anatomia. Cavidade dentro de um osso.
antro	porção	Antro pilórico, porção terminal do estômago, que precede o piloro.
antropocentrismo	Ideologia,	s.m. Ideologia, ou doutrina, de acordo com a qual o ser humano é o centro do universo, de tudo, sendo ele rodeado por todas as outras coisas.
antropologia	Ciência	s.f. Antropologia. Ciência que dedica ao estudo do homem (espécie humana) em sua totalidade, tendo em conta sua origem, desenvolvimento (físico, social, cultural), comportamento, psicologia, particularidades raciais, hábitos, costumes, conhecimentos, crenças etc.
antropologo	Indivíduo	s.m. Indivíduo que é especialista ou se dedica ao estudo da antropologia; antropologista.
anuario	Publicação	s.m. Publicação anual, contendo informações científicas, literárias, artísticas, econômicas etc.
anuario	Almanaque.	Almanaque.
anuencia	Aprovação;	s.f. Aprovação; ação de permitir a realização de alguma coisa: carta de anuência.
anuencia	Consentimento;	Consentimento; licença favorável à; expressão de concordância.
anuencia	Ação	Ação ou consequência de anuir: isso foi feito com a anuência de todos.
anuenio	Período	s.m. Período de tempo que corresponde a um ano, geralmente, refere-se às vantagens salariais ou aos benefícios de teor administrativo, durante desse período.
anuidade	Quantia	s.f. Quantia paga anualmente para a constituição de um capital ou amortização de uma dívida.
anuidade	Quantia	Quantia paga anualmente a uma instituição.
anulacao	Invalidação;	s.f. Invalidação; ação de tornar nulo, sem valor legal: anulação do casamento.
anulacao	Extinção;	Extinção; cessação dos efeitos de alguma coisa: anulação de um medicamento.
anulacao	Aniquilamento;	Aniquilamento; destruição completa de: anulação dos direitos civis.
anulacao	Ação,	Figurado. Ação, estado ou situação da pessoa que deixa de realizar alguma coisa em favor de alguém, de algo ou de si próprio: anulação dos desejos.
anulacao	Ação	Ação ou efeito de anular, de tornar sem efeito, de destruir, de desvalorizar.
anuncio	Aviso;	s.m. Aviso; notícia que divulga alguma coisa publicamente.
anuncio	Indício;	Indício; sinal que mostra ou prediz algo que ocorrerá futuramente.
anuncio	Previsão;	P.ext. Previsão; percepção do que acontecerá futuramente.
anuncio	Mensagem	Publicidade. Mensagem que busca vender, que faz propaganda, divulgando as vantagens e qualidades de um produto, serviço, atividade.
anuncio	Texto	Anúncio Classificado. Texto pequeno, sem ilustrações e divulgado em jornal ou revista, para vender um produto ou oferecer um serviço.
anverso	Face	s.m. Face de uma moeda ou medalha que mostra o elemento principal (por opos. a reverso).
anzol	gancho	s.m. Pequeno gancho de aço, farpado, que se coloca na extremidade de uma linha de pescar e onde se prende a isca para fisgar o peixe.
aorta	Artéria	s.f. Artéria mais longa do corpo e a de maior diâmetro, que nasce na base do ventrículo esquerdo do coração e que é o tronco comum das artérias que levam o sangue oxigenado a todas as partes do corpo.  Seus múltiplos ramos distribuem sangue purificado para as diversas partes do organismo.
apanagio	Propriedade,	s.m. Propriedade, característica ou atributo: a razão é o apanágio do homem.
apanagio	Benefício	Benefício que se concede a um certo grupo em detrimento dos demais (grupos); privilégio e/ou regalia.
apanagio	Pensão	Jurídico. Pensão alimentícia a que tem direito o cônjuge viúvo e obtida a partir dos rendimentos do cônjuge falecido.
apanagio	Terras	Antigo. Terras ou pensão que os soberanos davam aos filhos homens, exceto o primogênito, e que deveriam retornar à Coroa após a extinção dos descendentes masculinos.
apara	Fragmento	s.f. Fragmento de um objeto que se apara ou desbasta; resíduo, limalha, sobra, resto: as aparas de um lápis apontado.
apara	Sobra	Sobra de papel aparado ou cortado em suas margens, geralmente com guilhotina.
aparato	instrumentos	Reunião dos mecanismos, instrumentos e/ou itens cuja função é fundamental à realização de: aparato musical.
aparato	itens	Os mecanismos, instrumentos ou itens utilizados para esse propósito; artefato.
aparecimento	Ação	s.m. Ação ou efeito de aparecer; ato de expressar-se; mostrar-se; aparição.
aparecimento	origem	O que aparece antes dos demais; origem ou princípio.
aparelhagem	Conjunto	s.f. Conjunto de aparelhos e acessórios: aparelhagem elétrica.
aparelhagem	Ato	Carp. Ato de aplainar e lixar a madeira.
aparelho	Instrumento,	Instrumento, máquina.
aparelho	peças,	Conjunto de peças, instrumentos necessários à execução de um trabalho, à observação de um fenômeno: aparelho meteorológico.
aparelho	Conjunto	Conjunto de peças para um serviço de mesa: aparelho de chá.
aparelho	utensílios	Náutica  Conjunto de utensílios necessários à equipagem e manobra de um navio.
aparelho	dos	Anatomia. Conjunto dos órgãos que concorrem para a mesma função: o aparelho respiratório.
aparelho	Peças	Cirurgia. Peças necessárias para fazer operações ou curativos.
aparencia	aspecto:	s.f. O que se mostra à primeira vista; exterioridade, aspecto: casa de bela aparência; é bom desconfiar das aparências.
aparencia	verossimilhança:	Probabilidade, verossimilhança: o fato contradiz todas as aparências.
aparencia	ilusão,	Engano, ilusão, disfarce: aparência de altruísmo.
aparencia	reputação	Salvar as aparências, encobrir, disfarçar ações que podem comprometer a reputação ou suscitar suspeitas.
aparicao	Ato	s.f. Ato de aparecer; aparecimento.
aparicao	Manifestação	Manifestação súbita de um ser ou de um objeto: a aparição da Virgem; a aparição de um cometa.
aparicao	Presença	Presença momentânea: fez algumas aparições no recinto.
aparte	Comentário;	s.m. Comentário; o que é acrescentado durante um discurso formal ou durante uma conversa, através de uma interrupção, para esclarecer ou acrescentar algo ao que está sendo dito.
aparte	Autorização	P.ext. Autorização que se pede a alguém para interromper essa pessoa no momento de sua fala: posso fazer um aparte?
aparte	fala,	Teatro. Pensamento em voz alta; o que o personagem fala, durante a cena, como se estivesse conversando consigo mesmo ou com o público, mas não quer ser ouvido pelos demais.
apatia	Condição	s.f. Condição do ser que não se comove; que demonstra indiferença; insensibilidade.
apatia	Ausência	P.ext. Ausência de força (vigor físico); desprovido de sentimentos; que não demonstra interesse.
apatia	insensibilidade	Filosofia. Condição de insensibilidade ou perda dos sentimentos, ocasionada pela extensão do entendimento filosófico.
apatia	desânimo	Psicopatologia. Estado definido pelo desânimo ou pela ausência de energia; moleza ou abatimento.
apaziguamento	Ação	s.m. Ação ou efeito de apaziguar; em que há reconciliação; desagastamento.
apego	afeição,	s.m. Sentimento de afeição, de simpatia por alguém ou alguma coisa: apego excessivo às honrarias.
apelativo	terminologia	adj. e s.m. Gramática  Diz-se do nome comum aos indivíduos de uma espécie ou classe. (Opõe-se a próprio, e é terminologia pouco usada.)
apendice	Parte	s.m. Parte anexa, acréscimo, prolongamento de uma parte principal: apêndice em forma de bico.
apendice	Suplemento	Suplemento no fim de uma obra.
apendice	Parte	Anatomia. Parte acessória de um órgão.  O apêncie é um tubo estreito fechado numa das extremidades.
apendicite	Inflamação	s.f. Inflamação do apêndice cecal, pequena bolsa presa na parte inicial do intestino grosso, caracterizada pelo aparecimento de uma forte dor abdominal.
aperfeicoamento	Ato	s.m. Ato de aperfeiçoar; resultado dessa ação.
aperto	Ato	s.m. Ato de apertar: aperto de mão.
aperto	Situação	Situação difícil; penúria, aflição, perigo: acabo de sair do aperto.
aperto	urgência.	Pressa, urgência.
aperto	compacta;	Multidão compacta; massa humana.
apetite	Vontade	s.m. Vontade de comer: mostrar apetite.
apetite	desejo	Inclinação, desejo de satisfação dos sentidos ou instintos: satisfazer os apetites sensuais.
apetrecho	Acessório,	s.m. Teatro. Acessório, adereço utilizado em ambientes teatrais ou em teatros, importante para a produção cênica.
apiario	Estabelecimento	S.m. Estabelecimento de apicultura; colmeal.
apice	parte	s.m. A parte que se situa no local mais alto de; cume ou vértice.
